50
0 1
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 1
11 1
12 2
13 3
14 4
15 5
16 6
17 7
18 8
19 9
20 1
21 1
22 2
23 3
24 4
25 5
26 6
27 7
28 8
29 9
30 1
31 1
32 2
33 3
34 4
35 5
36 6
37 7
38 8
39 9
40 1
41 1
42 2
43 3
44 4
45 5
46 6
47 7
48 8
49 9
0  7 1.0
0 34 1.0
1 14 1.0
1 22 2.0
1 45 1.0
2 19 1.0
2 25 1.0
2 33 1.0
3  4 1.0
3 17 1.0
3 27 1.0
3 36 1.0
3 42 1.0
4 17 2.0
4 27 2.0
5 43 1.0
6 13 2.0
6 28 1.0
7 41 1.0
8 19 1.0
8 48 1.0
9 11 1.0
9 30 1.0
9 46 1.0
10  0 1.0
19  7 1.0
10 28 3.0
10 29 2.0
10 41 1.0
11 21 1.0
11 30 1.0
12  9 1.0
12 11 1.0
12 21 2.0
12 26 2.0
13 22 1.0
13 23 1.0
13 47 1.0
14  8 1.0
14 48 1.0
15 34 1.0
15 49 1.0
16  9 1.0
17 20 1.0
17 24 1.0
17 38 1.0
18  6 1.0
18 28 1.0
18 32 1.0
18 42 1.0
19 15 1.0
19 40 1.0
20  3 1.0
20 35 1.0
20 36 1.0
20 46 1.0
21  1 1.0
21 14 1.0
21 22 1.0
22  6 1.0
23 11 1.0
23 21 1.0
23 22 1.0
24  4 1.0
24  5 1.0
24 38 1.0
25 34 1.0
26  9 1.0
26 26 1.0
26 48 1.0
27  5 1.0
27 24 1.0
27 31 1.0
28 22 1.0
28 39 1.0
28 44 1.0
29 49 1.0
29 22 1.0
30 23 1.0
30 37 1.0
31 18 1.0
31 32 1.0
32  5 1.0
32  6 1.0
32 13 1.0
32 27 1.0
32 37 1.0
32 47 1.0
33  8 1.0
33 19 1.0
34  2 1.0
34 19 1.0
34 40 1.0
35  9 1.0
35 46 1.0
36 42 1.0
37  5 1.0
37  9 1.0
37 35 2.0 
37 47 1.0
38 35 1.0
38 37 1.0
39 18 1.0
39 42 1.0
40 15 1.0
41 28 1.0
41 44 1.0
42 31 1.0
43 24 1.0
43 37 1.0
43 38 1.0
44  7 1.0
44 39 1.0
45  8 1.0
45 14 2.0 
45 15 1.0
45 49 1.0
46 16 1.0
47 23 1.0
47 30 1.0
48 12 1.0
48 21 1.0
48 33 2.0 
49  1 1.0
49 34 1.0
49 22 1.0
